,Parameters,Standard Error,T-Stat,P-values
Totaldebt/Totalnetworth,0.05692851424497128,0.00652470851294052,8.725066281821539,2.660247708693575e-18
Constant,0.03226279513125084,0.001935206792410195,16.671497463622106,2.1123560564700357e-62
Operatingprofit/Paid-incapital,0.031497086281322265,0.006155429873896561,5.1169596480812025,3.105000162953776e-07
TotalAssetTurnover,0.02066197741596818,0.00588138219868904,3.513115916964848,0.00044288421420628373
Totalexpense/Assets,0.01997927011325413,0.005956477616140474,3.354208879945357,0.0007959225556470992
Cash/CurrentLiability,0.018490886078825364,0.007305770306738029,2.53099745851186,0.011373867271931704
NetValuePerShare(C),0.017618261474922136,0.003850694191796946,4.575346832904558,4.754316923081314e-06
Revenueperperson,0.014133285942226148,0.004593376324049462,3.0768839618536683,0.002091767120082797
Liability-AssetsFlag,0.01002247688664188,0.004268732882680936,2.3478810134278914,0.018880551666596686
Contingentliabilities/Networth,0.00931430932512641,0.0011361434782409339,8.198180514619114,2.4405268702725193e-16
CurrentLiabilitytoLiability,0.006205769509588518,0.0027043283841213565,2.294754418888662,0.021747202183264137
Totalincome/Totalexpense,0.0017907156383111886,0.0007672609998054387,2.333906765449145,0.019600604422205545
TotalAssetGrowthRate,-0.005394017570862207,0.0018353197114297053,-2.939007049981659,0.003292655843479318
Taxrate(A),-0.006388254390714202,0.001961172917827585,-3.2573641684745214,0.0011245206316489026
NetValueGrowthRate,-0.007907884559084234,0.002270912508675443,-3.4822497691453,0.0004972196830929174
AccountsReceivableTurnover,-0.010650306990345495,0.0026962445288729025,-3.950052332529939,7.813410771974375e-05
Operatingprofitperperson,-0.014840975279723133,0.003995806590816023,-3.714137544553254,0.0002038978785691888
Netprofitbeforetax/Paid-incapital,-0.021578202317288363,0.007452767465591867,-2.8953274628399686,0.0037876318441325495
ROA(B)beforeinterestanddepreciationaftertax,-0.02604285588706445,0.007405364073913585,-3.516755641873706,0.0004368557545490106
RevenuePerShare(Yuan¥),-0.04901352400163313,0.006823677797437071,-7.182860248771167,6.826787494016477e-13
